Sample_ID,IGSN,Material,SiO2,TiO2,Al2O3,Cr2O3,Fe2O3,Fe2O3T,FeO,FeOT,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O,H2OM,H2OP,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Ag,Al,As,Ba,Be,Bi,Ca,Cd,Co,Cr,Cs,Cu,Ga,Ge,Hf,In,K,Li,Mg,Mn,Mo,Na,Nb,Ni,P,Pb,Rb,S,Sb,Sc,Se,Sn,Sr,Ta,Te,Th,Ti,Tl,U,V,W,Y,Zn,Zr,Latitude,Longitude,Elevation,Rock,Reference,Method,Expedition
WASMRTN-007-002, ,WR,47.27,3.09,15.82,,4.36,,7.87,11.79,0.21,8.31,9.08,3.22,0.74,0.72,,,,35.5,78.1,,,8.89,2.84,,1.17,,,,,2.23,0.293,,,,240,,,,,42,263,0.12,,,,7.33,,,,,,,,41,99,,,19,,0.334,21,,,1185,2.63,,4.44,,,1.35,272,,33,,299,-50.44,-139.167,-640,"ALKALI BASALT, igneous:volcanic:mafic","HAWKINS, 1987",NN; TITR; XRF; INAA,MRTN06WT-6
WASPLUM-2-009-033, ,GL,47.17,0.991,17.7,,,,,8.99,0.15,9.85,12.24,2.523,0.023,0.088,,,,1.34,5.59,1.15,6.65,2.36,0.95,3.18,0.63,3.94,0.86,2.38,0.37,2.39,0.37,,,,5.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4688,-88.5352,-935,"BASALT, igneous:volcanic:mafic","HARPP, 2001; HARPP, 2005",ICPMS; EMP,PLUM02WT-2
WASPLUM-2-012-001, ,GL,49.24,1.817,14.7,,,,,11.28,0.14,8.41,12.7,2.21,0.08,0.08,,,,2.56,8.49,1.63,9.31,3.29,1.21,4.5,0.9,5.54,1.25,3.52,0.55,3.51,0.55,,,,10.7,,,,,,451,,,,,,,,,,,,,,147,,,,,,38,,,96,,,,5036,,,246,,23,,57.1,-0.2408,-88.6367,-1123,"BASALT, igneous:volcanic:mafic","HARPP, 2001; HARPP, 2005",ICPMS; EMP; DCP,PLUM02WT-2
WASPLUM-2-026-007, ,GL,48.61,1.915,15.57,,,,,9.99,0.134,7.81,11.93,3.009,0.243,0.166,,,,7.54,19.2,2.87,14.5,4.26,1.5,4.87,0.9,5.12,1.06,2.79,0.41,2.52,0.39,,,,49.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8417,-91.2883,-500,"BASALT, igneous:volcanic:mafic","HARPP, 2001; HARPP, 2005",ICPMS; EMP,PLUM02WT-2
WASPLUM-2-026-016, ,GL,48.51,1.921,15.61,,,,,10.13,0.128,7.81,12.02,2.987,0.242,0.148,,,,7.46,18.9,2.91,14.3,4.24,1.53,5,0.94,5.37,1.12,2.95,0.43,2.66,0.41,,,,48.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8417,-91.2883,-500,"BASALT, igneous:volcanic:mafic","HARPP, 2001; HARPP, 2005",ICPMS; EMP,PLUM02WT-2
WASPLUM-2-026-021, ,GL,48.22,1.865,15.64,,,,,9.96,0.126,7.92,12.08,2.976,0.229,0.185,,,,7.44,18.7,2.87,14.3,4.16,1.49,4.99,0.9,5.24,1.09,2.84,0.42,2.56,0.4,,,,47.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8417,-91.2883,-500,"BASALT, igneous:volcanic:mafic","HARPP, 2001; HARPP, 2005",ICPMS; EMP,PLUM02WT-2
WASPLUM-2-026-025, ,GL,48.02,1.826,15.5,,,,,11.01,0.148,7.63,11.82,3.154,0.076,0.1,,,,7.09,17.9,2.69,13.3,3.94,1.42,4.7,0.86,4.85,1.01,2.66,0.39,2.42,0.37,,,,46.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8417,-91.2883,-500,"BASALT, igneous:volcanic:mafic","HARPP, 2001; HARPP, 2005",ICPMS; EMP,PLUM02WT-2
WASPLUM-2-027-001, ,GL,47.88,1.813,15.41,,,,,11.12,0.158,7.59,11.93,3.174,0.082,0.104,,,,3.02,9.95,1.88,10.9,3.89,1.44,5.1,0.98,5.88,1.26,3.41,0.52,3.26,0.5,,,,12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8967,-91.33,-1464,"BASALT, igneous:volcanic:mafic","HARPP, 2001; HARPP, 2005",ICPMS; EMP,PLUM02WT-2
WASPLUM-2-028-001, ,GL,47.42,1.857,16.87,,,,,9.61,0.135,8.48,11.71,2.968,0.201,0.133,,,,5.44,14.6,2.34,12,3.79,1.38,4.65,0.89,5.1,1.06,2.87,0.44,2.67,0.41,,,,33.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0032,-91.5557,-911,"BASALT, igneous:volcanic:mafic","HARPP, 2001; HARPP, 2005",ICPMS; EMP,PLUM02WT-2
WASPLUM-2-028-011, ,GL,47.53,1.742,16.53,,,,,9.67,0.119,8.12,11.61,2.853,0.171,0.155,,,,5.33,14.3,2.31,12.1,3.78,1.36,4.74,0.86,5.06,1.05,2.82,0.43,2.64,0.41,,,,31.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0032,-91.5557,-911,"BASALT, igneous:volcanic:mafic","HARPP, 2001; HARPP, 2005",ICPMS; EMP,PLUM02WT-2
WASPLUM-2-029-003, ,GL,50.35,1.349,14.62,,,,,10.41,0.156,7.67,12.56,2.494,0.168,0.101,,,,4.85,11.8,1.78,9.16,2.92,1.07,3.9,0.77,4.7,1.03,2.85,0.44,2.78,0.44,,,,41.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9083,-92.1783,-1582,"BASALT, igneous:volcanic:mafic","HARPP, 2001; HARPP, 2005",ICPMS; EMP,PLUM02WT-2
WASPLUM-2-030-001, ,GL,48.67,1.563,16.58,,,,,9.37,0.116,8.32,12.25,2.594,0.357,0.172,,,,10.4,23,3.09,13.5,3.38,1.24,4.09,0.74,4.34,0.94,2.51,0.39,2.44,0.37,,,,100,,,,0.111,,,,,,,,0.06,,,,,,,,,,0.66,7.14,1000,,,,0.9,300,,0.00745,1.13,,,0.3,,,23,,,1.5605,-91.9277,-2116,"BASALT, igneous:volcanic:mafic","YI, 2000; HARPP, 2001; HARPP, 2005",NN; MC-ICP-MS; EMP; ICPMS,PLUM02WT-2
WASSOTW-048-002, ,WR,46.19,3.62,16.19,,11.15,,1.81,11.85,0.14,3.01,9.52,3.39,2.03,2.96,,,4.83,44.39,65.58,,,9.48,3.02,,1.48,,,,,3.89,0.61,,,,135,,,,,39,88,5.85,,,,6.51,,,,,,,,54,94,,,89,,,21,,,596,,,3.08,,,1.19,270,,76,153,277,-30.17,-173.428,-2300,"HAWAIITE, igneous:volcanic:intermediate","HAWKINS, 1987",NN; TITR; XRF; INAA,SOUTHTOW 
WASSOTW-052-001, ,WR,47.34,3.36,18.46,,8.05,,3.87,11.41,0.14,3.8,9.69,2.96,1.42,0.84,,,2.51,31.07,71.06,,,8.65,2.68,,1.16,,,,,2.37,0.35,,,,202,,,,,33,109,0.59,,,,6.53,,,,,,,,45,56,,,25,,,27,,,647,,,2.96,,,0.75,356,,34,117,276,-27.472,-174.413,-3480,"ALKALI BASALT, igneous:volcanic:mafic","HAWKINS, 1987",NN; TITR; XRF; INAA,SOUTHTOW 
WASSOTW-058-001, ,WR,46.72,2.81,14.65,,7.91,,3.91,11.47,0.23,7.54,10.58,3.94,1.12,0.47,,,3.74,22.87,53.75,,,7,2.16,,0.98,,,,,1.99,0.29,,,,143,,,,,46,509,0.43,,,,5.21,,,,,,,,32,182,,,15,,,30,,,634,,,2.23,,,0.44,299,,29,93,217,-25.872,-175.09,-2443,"BASANITOID, igneous:volcanic:mafic","HAWKINS, 1987",NN; TITR; XRF; INAA,SOUTHTOW 
